1,PERCHERO MADERA,CAFE,1,2022-11-07 04:53:34,2022-11-07 04:53:34
16858,PERCHERO MADERA,CAFE,3,2022-11-06 23:06:30,2022-11-06 23:08:12
41594,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,3,2022-11-06 23:06:30,2022-11-06 23:08:12
56000,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS ",3,2022-11-06 23:06:30,2022-11-06 23:08:12
56027,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS ",3,2022-11-06 23:06:30,2022-11-06 23:08:12
56796,SILLA GORKA BASIC,SIN BRAZOS CON BASE CROMADA BRILLO Y CARCASA EN POLIAMIDA COLOR GRIS C 052. TAPICERIA SUPLEMENTARIA MARCANDO ASIENTO Y RESPALDO EN PARTE FRONTAL EN TELA T-C125,3,2022-11-06 23:06:30,2022-11-06 23:08:12
30113,MESA DE CENTRO,MADERA VINO,3,2022-11-06 23:06:30,2022-11-06 23:08:12
41651,TELEVISOR,LCD 32 PLG PLASTICO NEGRO,3,2022-11-06 23:06:30,2022-11-06 23:08:12
55995,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS ",3,2022-11-06 23:06:30,2022-11-06 23:08:12
56024,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS ",3,2022-11-06 23:06:30,2022-11-06 23:08:12
56797,SILLA GORKA BASIC,SIN BRAZOS CON BASE CROMADA BRILLO Y CARCASA EN POLIAMIDA COLOR GRIS C 052. TAPICERIA SUPLEMENTARIA MARCANDO ASIENTO Y RESPALDO EN PARTE FRONTAL EN TELA T-C125,3,2022-11-06 23:06:30,2022-11-06 23:08:12
